Line #,State abbreviation,State name,Congressional district, Citizen voting-age population estimate , Less than 9th grade estimate , Less than 9th grade percent of total , 9th to 12 Grade no diploma estimate , 9th to 12 Grade no diploma percent of total , High school graduate estimate , High school graduate percent of total , Some college no degree estimate , Some college no degree percent of total , Associate degree estimate , Associate degree percent of total , Bachelor degree estimate , Bachelor degree percent of total , Graduate degree estimate , Graduate degree percent of total , High school or more estimate , High school or more percent of total , Bachelor degree or more estimate 
320,OK,Oklahoma,5,561277,13775,2.5,44123,7.9,148804,26.5,145781,26,40854,7.3,107536,19.2,60404,10.8,503379,89.7,167940
321,OR,Oregon,1,606198,9339,1.5,26679,4.4,128013,21.1,146233,24.1,53496,8.8,156276,25.8,86162,14.2,570180,94.1,242438
322,OR,Oregon,2,619186,13268,2.1,47630,7.7,161388,26.1,179946,29.1,61291,9.9,99261,16,56402,9.1,558288,90.2,155663
323,OR,Oregon,3,627716,12960,2.1,28825,4.6,121458,19.3,158417,25.2,52252,8.3,157586,25.1,96218,15.3,585931,93.3,253804
324,OR,Oregon,4,638548,11701,1.8,45999,7.2,164956,25.8,201222,31.5,58029,9.1,100115,15.7,56526,8.9,580848,91,156641
325,OR,Oregon,5,606523,10875,1.8,36398,6,152097,25.1,167719,27.7,56373,9.3,119939,19.8,63122,10.4,559250,92.2,183061
326,PA,Pennsylvania,1,544860,8473,1.6,22937,4.2,156819,28.8,97767,17.9,42868,7.9,134297,24.6,81699,15,513450,94.2,215996
327,PA,Pennsylvania,2,496510,26299,5.3,56776,11.4,198771,40,85428,17.2,29704,6,68370,13.8,31162,6.3,413435,83.3,99532
328,PA,Pennsylvania,3,564612,11692,2.1,42143,7.5,157520,27.9,116200,20.6,27138,4.8,117374,20.8,92545,16.4,510777,90.5,209919
329,PA,Pennsylvania,4,543723,8807,1.6,22739,4.2,142022,26.1,88390,16.3,39064,7.2,144278,26.5,98423,18.1,512177,94.2,242701
330,PA,Pennsylvania,5,519983,10562,2,31422,6,160532,30.9,99737,19.2,37695,7.2,106551,20.5,73484,14.1,477999,91.9,180035
331,PA,Pennsylvania,6,522912,12563,2.4,27757,5.3,130458,24.9,92678,17.7,35515,6.8,138750,26.5,85191,16.3,482592,92.3,223941
332,PA,Pennsylvania,7,552078,15318,2.8,35659,6.5,189151,34.3,111581,20.2,48351,8.8,94809,17.2,57209,10.4,501101,90.8,152018
333,PA,Pennsylvania,8,535133,11439,2.1,37736,7.1,200538,37.5,109953,20.5,48725,9.1,81079,15.2,45663,8.5,485958,90.8,126742
334,PA,Pennsylvania,9,555775,16996,3.1,42409,7.6,240099,43.2,97346,17.5,47334,8.5,73298,13.2,38293,6.9,496370,89.3,111591
335,PA,Pennsylvania,10,552761,15277,2.8,34073,6.2,189962,34.4,99038,17.9,48044,8.7,108486,19.6,57881,10.5,503411,91.1,166367
336,PA,Pennsylvania,11,553568,35053,6.3,42629,7.7,202751,36.6,91320,16.5,41919,7.6,92575,16.7,47321,8.5,475886,86,139896
337,PA,Pennsylvania,12,551022,15618,2.8,38952,7.1,234876,42.6,103919,18.9,46333,8.4,71193,12.9,40131,7.3,496452,90.1,111324
338,PA,Pennsylvania,13,545111,13896,2.5,40577,7.4,241288,44.3,99961,18.3,48425,8.9,62268,11.4,38696,7.1,490638,90,100964
339,PA,Pennsylvania,14,551164,8357,1.5,28415,5.2,219548,39.8,100379,18.2,53868,9.8,91121,16.5,49476,9,514392,93.3,140597
340,PA,Pennsylvania,15,548615,13986,2.5,34673,6.3,246984,45,91462,16.7,51525,9.4,72269,13.2,37716,6.9,499956,91.1,109985
341,PA,Pennsylvania,16,539710,12118,2.2,31769,5.9,211587,39.2,99574,18.4,51589,9.6,86897,16.1,46176,8.6,495823,91.9,133073
342,PA,Pennsylvania,17,559285,5903,1.1,20706,3.7,159016,28.4,99939,17.9,56259,10.1,136767,24.5,80695,14.4,532676,95.2,217462
343,PA,Pennsylvania,18,544390,6755,1.2,25046,4.6,156418,28.7,107772,19.8,51636,9.5,117979,21.7,78784,14.5,512589,94.2,196763
344,RI,Rhode Island,1,395409,14274,3.6,29304,7.4,114324,28.9,82383,20.8,29031,7.3,75455,19.1,50638,12.8,351831,89,126093
345,RI,Rhode Island,2,407668,10748,2.6,20558,5,118228,29,87561,21.5,37944,9.3,80864,19.8,51765,12.7,376362,92.3,132629
346,SC,South Carolina,1,613912,8402,1.4,33694,5.5,147261,24,132570,21.6,56738,9.2,149559,24.4,85688,14,571816,93.1,235247
