Line #,State abbreviation,State name,Congressional district, Citizen voting-age population estimate , Less than 9th grade estimate , Less than 9th grade percent of total , 9th to 12 Grade no diploma estimate , 9th to 12 Grade no diploma percent of total , High school graduate estimate , High school graduate percent of total , Some college no degree estimate , Some college no degree percent of total , Associate degree estimate , Associate degree percent of total , Bachelor degree estimate , Bachelor degree percent of total , Graduate degree estimate , Graduate degree percent of total , High school or more estimate , High school or more percent of total , Bachelor degree or more estimate 
1,AL,Alabama,1,544464,13409,2.5,57234,10.5,185503,34.1,122236,22.5,42603,7.8,82971,15.2,40508,7.4,473821,87,123479
2,AL,Alabama,2,516295,18295,3.5,53192,10.3,172427,33.4,119350,23.1,45677,8.8,69082,13.4,38272,7.4,444808,86.2,107354
3,AL,Alabama,3,543854,19578,3.6,56833,10.5,174209,32,142705,26.2,45713,8.4,63916,11.8,40900,7.5,467443,86,104816
4,AL,Alabama,4,515701,24346,4.7,57850,11.2,175806,34.1,121739,23.6,51436,10,52697,10.2,31827,6.2,433505,84.1,84524
5,AL,Alabama,5,551968,14908,2.7,43805,7.9,151609,27.5,123272,22.3,45097,8.2,113417,20.5,59860,10.8,493255,89.4,173277
6,AL,Alabama,6,535753,11300,2.1,36957,6.9,140443,26.2,123459,23,40976,7.6,117006,21.8,65612,12.2,487496,91,182618
7,AL,Alabama,7,504177,16616,3.3,55234,11,168045,33.3,133839,26.5,39302,7.8,59601,11.8,31540,6.3,432327,85.7,91141
8,AK,Alaska,1,532244,10640,2,26444,5,160451,30.1,148709,27.9,41699,7.8,89107,16.7,55194,10.4,495160,93,144301
9,AZ,Arizona,1,568661,21704,3.8,52527,9.2,157867,27.8,160634,28.2,47496,8.4,76331,13.4,52102,9.2,494430,86.9,128433
10,AZ,Arizona,2,550044,11867,2.2,34149,6.2,129115,23.5,155015,28.2,51429,9.3,100306,18.2,68163,12.4,504028,91.6,168469
11,AZ,Arizona,3,500787,30121,6,57088,11.4,148104,29.6,141914,28.3,45173,9,53824,10.7,24563,4.9,413578,82.6,78387
12,AZ,Arizona,4,633528,17595,2.8,52748,8.3,192527,30.4,192003,30.3,59051,9.3,77875,12.3,41729,6.6,563185,88.9,119604
13,AZ,Arizona,5,587681,8798,1.5,27681,4.7,128346,21.8,160076,27.2,53374,9.1,138201,23.5,71205,12.1,551202,93.8,209406
14,AZ,Arizona,6,577899,8834,1.5,25687,4.4,107601,18.6,139842,24.2,47995,8.3,158055,27.3,89885,15.6,543378,94,247940
15,AZ,Arizona,7,454957,34537,7.6,53791,11.8,140351,30.8,117031,25.7,34665,7.6,50781,11.2,23801,5.2,366629,80.6,74582
16,AZ,Arizona,8,599423,13530,2.3,31603,5.3,155411,25.9,167411,27.9,56366,9.4,111662,18.6,63440,10.6,554290,92.5,175102
17,AZ,Arizona,9,562791,11269,2,26068,4.6,109598,19.5,155775,27.7,50960,9.1,137924,24.5,71197,12.7,525454,93.4,209121
18,AR,Arkansas,1,548710,24944,4.5,53594,9.8,208663,38,128267,23.4,44423,8.1,60603,11,28216,5.1,470172,85.7,88819
19,AR,Arkansas,2,570220,14879,2.6,40792,7.2,172669,30.3,140151,24.6,44106,7.7,97692,17.1,59931,10.5,514549,90.2,157623
20,AR,Arkansas,3,573113,18243,3.2,38548,6.7,183043,31.9,147350,25.7,37748,6.6,94386,16.5,53795,9.4,516322,90.1,148181
21,AR,Arkansas,4,532069,16826,3.2,50608,9.5,206160,38.7,133473,25.1,41122,7.7,56921,10.7,26959,5.1,464635,87.3,83880
22,CA,California,1,553702,10300,1.9,36521,6.6,139909,25.3,179540,32.4,60188,10.9,86500,15.6,40744,7.4,506881,91.5,127244
23,CA,California,2,534951,10337,1.9,25985,4.9,99851,18.7,132042,24.7,45775,8.6,132589,24.8,88372,16.5,498629,93.2,220961
24,CA,California,3,504299,18937,3.8,36020,7.1,125825,25,155145,30.8,46482,9.2,73831,14.6,48059,9.5,449342,89.1,121890
25,CA,California,4,573118,7430,1.3,27012,4.7,125409,21.9,163654,28.6,61487,10.7,128333,22.4,59793,10.4,538676,94,188126
26,CA,California,5,508369,15874,3.1,23135,4.6,106375,20.9,143612,28.2,57465,11.3,107991,21.2,53917,10.6,469360,92.3,161908
27,CA,California,6,506434,23007,4.5,31946,6.3,120347,23.8,135756,26.8,46478,9.2,100008,19.7,48892,9.7,451481,89.1,148900
28,CA,California,7,537436,15617,2.9,26001,4.8,110306,20.5,154666,28.8,58465,10.9,116934,21.8,55447,10.3,495818,92.3,172381
29,CA,California,8,477512,16654,3.5,45292,9.5,154981,32.5,139316,29.2,44583,9.3,48542,10.2,28144,5.9,415566,87,76686
30,CA,California,9,482967,22179,4.6,38221,7.9,147403,30.5,126601,26.2,51814,10.7,68040,14.1,28709,5.9,422567,87.5,96749
31,CA,California,10,493409,25293,5.1,43288,8.8,154120,31.2,145033,29.4,42682,8.7,59753,12.1,23240,4.7,424828,86.1,82993
32,CA,California,11,508963,12985,2.6,21166,4.2,86079,16.9,115072,22.6,41873,8.2,142028,27.9,89760,17.6,474812,93.3,231788
33,CA,California,12,571300,24369,4.3,21283,3.7,67565,11.8,78296,13.7,27093,4.7,219245,38.4,133449,23.4,525648,92,352694
34,CA,California,13,536892,16604,3.1,24706,4.6,88938,16.6,108388,20.2,33353,6.2,151914,28.3,112989,21,495582,92.3,264903
35,CA,California,14,511049,18871,3.7,20813,4.1,79470,15.6,105663,20.7,37951,7.4,159360,31.2,88921,17.4,471365,92.2,248281
36,CA,California,15,503361,13285,2.6,23799,4.7,105049,20.9,115831,23,34366,6.8,134275,26.7,76756,15.2,466277,92.6,211031
37,CA,California,16,423147,33543,7.9,50462,11.9,124002,29.3,120993,28.6,32787,7.7,43302,10.2,18058,4.3,339142,80.1,61360
38,CA,California,17,438374,13228,3,19579,4.5,69782,15.9,81191,18.5,33473,7.6,128406,29.3,92715,21.1,405567,92.5,221121
39,CA,California,18,491580,6902,1.4,12128,2.5,57910,11.8,84970,17.3,28246,5.7,158493,32.2,142931,29.1,472550,96.1,301424
40,CA,California,19,482363,28909,6,31052,6.4,89585,18.6,109884,22.8,43770,9.1,119763,24.8,59400,12.3,422402,87.6,179163
41,CA,California,20,434889,19397,4.5,26214,6,91612,21.1,123963,28.5,41687,9.6,79665,18.3,52351,12,389278,89.5,132016
42,CA,California,21,354669,30382,8.6,49482,14,114452,32.3,96588,27.2,26041,7.3,27414,7.7,10310,2.9,274805,77.5,37724
43,CA,California,22,483064,20958,4.3,33175,6.9,113960,23.6,138342,28.6,53000,11,80429,16.6,43200,8.9,428931,88.8,123629
44,CA,California,23,490446,19789,4,51116,10.4,136106,27.8,144489,29.5,45193,9.2,59122,12.1,34631,7.1,419541,85.5,93753
45,CA,California,24,508333,12493,2.5,22428,4.4,100200,19.7,157352,31,46880,9.2,106787,21,62193,12.2,473412,93.1,168980
46,CA,California,25,482964,19148,4,40232,8.3,113657,23.5,128561,26.6,49777,10.3,89036,18.4,42553,8.8,423584,87.7,131589
47,CA,California,26,480928,20235,4.2,24094,5,101186,21,130031,27,49476,10.3,97939,20.4,57967,12.1,436599,90.8,155906
48,CA,California,27,471963,29513,6.3,23456,5,82256,17.4,100069,21.2,39294,8.3,122862,26,74513,15.8,418994,88.8,197375
49,CA,California,28,502971,18412,3.7,17960,3.6,82496,16.4,106049,21.1,46643,9.3,155739,31,75672,15,466599,92.8,231411
50,CA,California,29,402898,36869,9.2,38058,9.4,101848,25.3,105890,26.3,30540,7.6,69161,17.2,20532,5.1,327971,81.4,89693
51,CA,California,30,529846,19105,3.6,23003,4.3,87198,16.5,127319,24,40343,7.6,155101,29.3,77777,14.7,487738,92.1,232878
